name,node_id,osm_node_id,x_coord,y_coord,zone_id,TAZ_ID,geometry,notes,old_node_id,is_boundary,activity_type,poi_id,production_14:00-18:00,atraction_14:00-18:00,production_16:00-17:00,atraction_16:00-17:00
,3411,41208687,-112.1124213,33.5203305,3411,,POINT (-112.1124213 33.5203305),,2,1,motorway,,7132.12,0,1790,0
,3412,256833093,-112.1124714,33.472198,3412,,POINT (-112.1124714 33.472198),,3,1,motorway,,5528.17,0,2827.83,0
,3413,198026026,-112.1124594,33.4713908,3413,,POINT (-112.1124594 33.4713908),,4,-1,motorway,,0,7132.12,0,1790
,3414,42373003,-112.113639,33.4806374,,,POINT (-112.113639 33.4806374),,5,-1,trunk,,,,,
,3415,42373486,-112.112607,33.4806647,,,POINT (-112.112607 33.4806647),,6,1,trunk,,,,,
,3416,903657831,-112.111895,33.5094537,,,POINT (-112.111895 33.5094537),,7,-1,primary,,,,,
,3417,42373080,-112.1129176,33.5095744,,,POINT (-112.1129176 33.5095744),,8,-1,primary,,,,,
,3418,1506459605,-112.112602,33.4805078,,,POINT (-112.112602 33.4805078),,9,-1,trunk,,,,,
,3419,1506459693,-112.113648,33.4804871,,,POINT (-112.113648 33.4804871),,10,1,trunk,,,,,
,3420,41642024,-112.112604,33.4951203,,,POINT (-112.112604 33.4951203),,11,1,secondary,,,,,
,3421,41642026,-112.113489,33.4951089,,,POINT (-112.113489 33.4951089),,12,-1,secondary,,,,,
,3422,1104113897,-112.113472,33.4948661,,,POINT (-112.113472 33.4948661),,13,1,secondary,,,,,
,3423,903657826,-112.1129128,33.5094146,,,POINT (-112.1129128 33.5094146),,14,1,primary,,,,,
,3424,42373548,-112.111892,33.5096192,,,POINT (-112.111892 33.5096192),,15,1,primary,,,,,
,3425,1104113850,-112.112605,33.4948665,,,POINT (-112.112605 33.4948665),,16,-1,secondary,,,,,
,3426,256833492,-112.1125032,33.5055866,,,POINT (-112.1125032 33.5055866),,17,0,motorway,,,,,
,3427,41198155,-112.1121581,33.5075875,,,POINT (-112.1121581 33.5075875),,18,0,secondary,,,,,
,3428,256783640,-112.112719,33.481918,,,POINT (-112.112719 33.481918),,19,0,secondary,,,,,
,3429,256784343,-112.1128309,33.4828179,,,POINT (-112.1128309 33.4828179),,20,0,motorway,,,,,
,3430,41250865,-112.1134364,33.4938391,,,POINT (-112.1134364 33.4938391),,21,0,secondary,,,,,
,3431,4391984874,-112.1133086,33.4926264,,,POINT (-112.1133086 33.4926264),,22,0,motorway,,,,,
,3432,41256497,-112.112487,33.5136659,,,POINT (-112.112487 33.5136659),,23,0,motorway,,,,,
,3433,41256495,-112.1127401,33.5113271,,,POINT (-112.1127401 33.5113271),,24,0,secondary,,,,,
,3434,256786301,-112.1121158,33.5120129,,,POINT (-112.1121158 33.5120129),,25,0,motorway,,,,,
,3435,256833495,-112.1122284,33.5136464,,,POINT (-112.1122284 33.5136464),,26,0,motorway,,,,,
,3436,256833397,-112.1129732,33.4912605,,,POINT (-112.1129732 33.4912605),,27,0,motorway,,,,,
,3437,9126748135,-112.1127025,33.4933188,,,POINT (-112.1127025 33.4933188),,28,0,motorway,,,,,
,3438,5135277064,-112.1128731,33.5078712,,,POINT (-112.1128731 33.5078712),,29,0,secondary,,,,,
,3439,256785821,-112.1127958,33.5071896,,,POINT (-112.1127958 33.5071896),,30,0,motorway,,,,,
,3440,4425006531,-112.113058,33.4992841,,,POINT (-112.113058 33.4992841),,31,0,motorway,,,,,
,3441,41491304,-112.1134093,33.4964259,,,POINT (-112.1134093 33.4964259),,32,0,secondary,,,,,
,3442,256785182,-112.112719,33.4972789,,,POINT (-112.112719 33.4972789),,33,0,motorway,,,,,
,3443,4425006530,-112.1128506,33.4993223,,,POINT (-112.1128506 33.4993223),,34,0,motorway,,,,,
,3444,256833096,-112.1129056,33.4741848,,,POINT (-112.1129056 33.4741848),,35,0,motorway,,,,,
,3445,256833145,-112.1128312,33.4765696,,,POINT (-112.1128312 33.4765696),,36,0,motorway,,,,,
