link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_in_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,link_type_name,is_link,from_biway
45,,5560963,3426,3427,1,"LINESTRING (-112.1125032 33.5055866,-112.1124028 33.5060297,-112.1123363 33.506536,-112.1123015 33.5068353,-112.1121581 33.5075875)",1,224.9,motorway,1,72,1,2300,,0,0.15,4,1,0.14,45,45,0.19,,,,,,,
46,Black Canyon Freeway,528432234,3426,3435,1,"LINESTRING (-112.1125032 33.5055866,-112.1123125 33.5092537,-112.1123109 33.5092984,-112.1122953 33.5099193,-112.1122665 33.5115322,-112.1122595 33.512011,-112.1122526 33.5124632,-112.1122483 33.5127541,-112.1122451 33.5129645,-112.1122451 33.5131367,-112.1122284 33.5136464)",1,896.66,motorway,1,105,4,2300,,0,0.15,4,1,0.56,65,65,0.51,6157.83,,,,,,
47,North Black Canyon Highway,531245168,3427,3454,1,"LINESTRING (-112.1121581 33.5075875,-112.1120421 33.5082836)",1,78.15,secondary,4,64,3,2300,,0,0.15,4,1,0.05,40,40,0.07,,,,,,,
48,,5563898,3428,3429,1,"LINESTRING (-112.112719 33.481918,-112.112758 33.4820181,-112.1128031 33.4824695,-112.1128309 33.4828179)",1,100.9,motorway,1,72,2,2300,,0,0.15,4,1,0.06,45,45,0.08,,,,,,,
49,,767811648,3429,3471,1,"LINESTRING (-112.1128309 33.4828179,-112.1128634 33.483304,-112.1129148 33.4839204,-112.1129197 33.4846615,-112.1129698 33.4850703)",1,250.94,motorway,1,64,1,2300,,0,0.15,4,1,0.16,40,40,0.24,,,,,,,
50,,5564113,3430,3431,1,"LINESTRING (-112.1134364 33.4938391,-112.1133843 33.4935092,-112.1133366 33.4930735,-112.1133086 33.4926264)",1,135.43,motorway,1,72,2,2300,,0,0.15,4,1,0.08,45,45,0.11,,,,,,,
51,,528363238,3431,3476,1,"LINESTRING (-112.1133086 33.4926264,-112.1132474 33.4916935,-112.1131559 33.4912598)",1,152.85,motorway,1,64,1,2300,,0,0.15,4,1,0.09,40,40,0.14,,,,,,,
52,,5564691,3432,3433,1,"LINESTRING (-112.112487 33.5136659,-112.1125455 33.5131524,-112.1125514 33.5129702,-112.1125683 33.5127532,-112.112598 33.5124602,-112.1126249 33.5120061,-112.1126354 33.5118285,-112.1126711 33.5115346,-112.1127401 33.5113271)",1,261.62,motorway,1,72,1,2300,,0,0.15,4,1,0.16,45,45,0.22,,,,,,,
53,Black Canyon Freeway,528438530,3432,3481,1,"LINESTRING (-112.112487 33.5136659,-112.1124619 33.5131501,-112.1124648 33.5129679,-112.1124683 33.5127535,-112.112473 33.5124613,-112.1124804 33.512008,-112.112488 33.5115336,-112.1125024 33.5097539,-112.1127235 33.5059947)",1,853.57,motorway,1,105,4,2300,,0,0.15,4,1,0.53,65,65,0.49,7132.12,,,,,,
54,North Black Canyon Highway,531245189,3433,3483,1,"LINESTRING (-112.1127401 33.5113271,-112.1127658 33.5110433)",1,31.65,secondary,4,64,2,2300,,0,0.15,4,1,0.02,40,40,0.03,,,,,,,
55,,5564692,3434,3435,1,"LINESTRING (-112.1121158 33.5120129,-112.1121322 33.5124642,-112.1121543 33.5127544,-112.1121714 33.5129634,-112.1121754 33.5131445,-112.1122284 33.5136464)",1,182,motorway,1,72,1,2300,,0,0.15,4,1,0.11,45,45,0.15,,,,,,,
